a,b,LABEL
0.83039,4.63513,Fatal
-0.013,1.39797,Ok
-0.28272,5.70507,Fatal
-0.30693,5.69207,Fatal
0.87192,1.47251,Ok
0.84928,4.62559,Fatal
0.26285,6.8986,Ok
-0.80484,3.45524,Ok
-0.19391,1.66949,Ok
-0.12502,1.91683,Ok
0.2116,7.18244,Ok
0.99117,1.59568,Ok
0.18027,6.91981,Ok
0.83314,4.85513,Fatal
-0.27848,5.71599,Fatal
-0.11954,1.08944,Ok
0.98391,1.61156,Ok
-0.28953,5.7221,Fatal
-0.25841,5.47315,Fatal
-0.38332,6.04961,Fatal
0.87659,4.56246,Fatal
0.91511,4.43173,Fatal
-0.133,1.5244,Ok
0.88363,4.01289,Fatal
-0.13996,1.42242,Ok
-0.13518,2.1315,Ok
0.26421,6.995,Ok
-0.35402,6.25136,Fatal
-0.34706,6.18872,Fatal
0.8501,0.98319,Ok
0.89941,1.17647,Ok
0.20665,7.25843,Ok
0.19537,7.27149,Ok
0.97536,1.19238,Ok
-0.3131,6.17272,Fatal
-0.12355,1.70742,Ok
0.90083,0.699,Ok
0.82604,1.35267,Ok
0.83803,0.81387,Ok
0.90411,4.33151,Fatal
0.30716,7.29903,Ok
-0.07914,1.57015,Ok
0.90944,1.38806,Ok
-0.3294,5.87499,Fatal
-0.32332,5.70968,Fatal
-0.12875,1.79553,Ok
0.80267,1.32452,Ok
0.88963,4.44886,Fatal
-0.34028,5.58421,Fatal
-0.07206,1.5382,Ok
-0.12327,1.66949,Ok
-0.34406,5.36522,Fatal
0.82023,4.70561,Fatal
0.31042,7.1599,Ok
-0.29049,5.96721,Fatal
0.9361,1.17168,Ok
0.98146,0.85625,Ok
0.31,6.97723,Ok
0.24776,7.26416,Ok
0.20117,6.93422,Ok
-0.32113,5.75408,Fatal
-0.30734,5.92157,Fatal
-0.4077,5.24219,Fatal
0.84734,4.40574,Fatal
-0.34029,5.63052,Fatal
0.28855,6.70845,Ok
-0.22048,5.90914,Fatal
-0.30274,5.9191,Fatal
0.91709,1.57945,Ok
-0.21038,1.95336,Ok
0.95644,0.99385,Ok
0.24818,7.39774,Ok
-0.23624,5.76557,Fatal
-0.1005,1.29118,Ok
0.91153,4.07609,Fatal
0.9076,1.12451,Ok
-0.3022,6.02987,Fatal
-0.22392,5.83049,Fatal
0.85507,4.58557,Fatal
-0.22046,1.71465,Ok
0.97464,1.65067,Ok
-0.20168,1.66926,Ok
-0.04518,1.69839,Ok
0.90808,4.23814,Fatal
0.24665,6.79042,Ok
0.82083,4.87769,Fatal
0.95107,1.58514,Ok
0.81347,4.54276,Fatal
-0.08744,1.53322,Ok
-0.22363,6.1221,Fatal
-0.11196,1.705,Ok
0.96941,1.20726,Ok
-0.09871,1.63115,Ok
0.87102,4.05226,Fatal
0.88624,4.3231,Fatal
0.2733,6.87407,Ok
0.92114,4.13943,Fatal
-0.25282,6.13326,Fatal
0.85889,4.34385,Fatal
0.20618,6.99454,Ok
0.92889,1.42392,Ok
0.26447,7.0561,Ok
1.00113,4.27772,Fatal
0.29573,7.72547,Ok
-0.0494,1.77915,Ok
-0.39016,5.81461,Fatal
0.26508,6.88215,Ok
-0.0736,1.50785,Ok
0.2775,6.92166,Ok
-0.12067,1.19432,Ok
0.94746,1.41317,Ok
1.00611,1.62161,Ok
-0.30148,5.91826,Fatal
-0.29357,5.96344,Fatal
0.8736,1.10507,Ok
0.84054,4.40772,Fatal
0.96508,1.45452,Ok
-0.39187,6.47119,Fatal
0.90343,4.6539,Fatal
0.22744,6.98094,Ok
0.25977,7.27504,Ok
0.22962,7.14372,Ok
-0.04979,2.14724,Ok
0.26427,6.77571,Ok
-0.06989,2.06904,Ok
-0.06298,1.75818,Ok
0.26607,7.30167,Fatal
