a,b,c,LABEL
-0.99673,1.98464,858.19395,Fatal
0.70262,3.45995,3274.55988,Fatal
0.73639,3.05944,3582.80581,Fatal
0.06244,2.34551,2037.98862,Ok
0.16584,9.50227,3747.12319,Ok
-0.97372,1.70452,816.59202,Fatal
0.74083,7.90067,-631.08552,Ok
0.21548,1.99286,1998.73925,Ok
0.77271,3.34243,3172.85328,Fatal
0.7108,3.51659,3152.08183,Fatal
0.11207,2.12989,1993.80653,Ok
0.78101,7.77047,-847.27138,Ok
0.69839,7.7173,-691.58051,Ok
0.15458,9.05706,3658.50137,Ok
0.14952,8.69563,3771.93569,Ok
0.77445,8.6266,-774.99182,Ok
0.81248,3.5625,3483.29628,Fatal
0.70968,3.78225,3227.04954,Fatal
0.71326,3.62885,3706.51423,Fatal
0.09896,2.02999,1943.40817,Ok
0.7683,7.88012,-652.92111,Ok
0.02692,2.1505,2016.15703,Ok
-0.91322,1.72074,611.559,Fatal
0.81107,3.45918,3409.50793,Fatal
0.10903,1.95226,1843.69404,Ok
0.15873,9.08585,3610.41568,Ok
0.11153,2.08968,1870.58695,Ok
0.74644,8.14384,-705.42091,Ok
0.78374,8.02342,-656.47219,Ok
0.22305,8.83055,3638.5661,Ok
0.72933,8.18381,-743.38983,Ok
0.85258,3.96285,3329.19499,Fatal
-1.07775,1.8119,871.12967,Fatal
0.17267,2.66747,2086.93796,Fatal
0.76321,7.78745,-657.09025,Ok
-1.03036,2.00257,957.26378,Fatal
0.04004,1.82974,2031.78383,Ok
0.08854,9.58062,3732.90327,Ok
0.70759,3.76515,3303.08096,Fatal
0.07328,1.99801,2153.8299,Ok
0.74165,7.6186,-612.61375,Ok
0.08775,1.78637,2044.07767,Ok
0.00423,2.43777,1687.1951,Ok
-0.92335,1.77094,872.4315,Fatal
-0.97891,2.07432,662.42746,Fatal
0.17135,9.13658,3370.45749,Ok
0.81386,7.95036,-530.15404,Ok
0.09101,8.36155,3685.41618,Ok
0.76904,7.78904,-1101.56703,Ok
0.16081,8.92088,3611.66649,Ok
0.05281,2.15206,1741.03551,Ok
0.76178,8.35103,-1163.34482,Ok
-0.99292,1.95203,786.51211,Fatal
0.72938,8.00687,-733.3917,Ok
0.7908,3.01692,3550.65093,Fatal
0.82562,7.88629,-762.3625,Ok
0.77634,3.44747,3484.44754,Fatal
-0.89964,1.72894,712.259,Fatal
0.13116,9.00777,3472.86419,Ok
0.10583,1.85543,2113.26266,Fatal
0.78021,7.65816,-852.26284,Ok
0.0778,2.03378,1863.39467,Ok
0.13361,9.17113,3522.65559,Ok
0.57288,3.72936,3498.53572,Fatal
0.74388,7.35031,-455.95944,Ok
0.71685,3.65136,3261.24922,Fatal
0.15033,8.46775,3821.5381,Ok
-0.97445,1.71225,497.43407,Fatal
0.7463,7.63649,-855.41595,Ok
0.82337,3.49594,3332.76349,Fatal
-1.01048,1.98799,1081.46845,Fatal
0.72515,3.33555,3328.92176,Fatal
0.7361,7.74172,-835.31958,Ok
0.80814,3.44794,3118.08071,Fatal
-0.97347,1.89916,769.47029,Fatal
0.78813,8.17318,-753.61511,Ok
0.16955,8.63544,3715.12229,Ok
0.1466,9.06651,3855.44055,Ok
0.0779,7.56149,4557.89537,Fatal
0.82813,7.89586,-818.68645,Ok
0.10228,7.87072,711.35454,Fatal
-0.97517,1.93874,702.7983,Fatal
0.121,8.95546,3722.53573,Ok
0.19677,8.89579,3883.89909,Ok
0.81981,8.00398,-963.58019,Ok
-1.00603,1.77425,784.37051,Fatal
0.14649,8.65721,3926.06424,Ok
-0.71172,7.55075,1970.27145,Ok
-0.95867,1.71812,876.38864,Fatal
0.85776,7.81282,-766.23756,Ok
0.15546,9.35754,3620.27293,Ok
0.85527,7.73348,-786.31169,Ok
0.15438,2.08384,2021.76877,Ok
0.23427,9.17393,3551.18549,Ok
-1.0347,1.66235,814.81216,Fatal
0.66572,8.06505,-883.51897,Ok
0.84599,3.66053,3108.20469,Fatal
0.211,9.36003,3628.12061,Ok
0.08857,2.06303,1890.80696,Ok
0.13009,2.60056,1953.68582,Ok
0.79193,3.95217,3619.46962,Fatal
0.74385,3.84805,3173.24256,Fatal
-1.0229,1.67457,795.87099,Fatal
0.18073,2.12984,1968.92575,Ok
-0.99046,1.94834,1108.62779,Fatal
-1.07944,1.83865,548.27619,Fatal
0.77252,3.78337,3144.01084,Fatal
-0.96699,2.47305,664.15536,Fatal
0.7426,7.69718,-520.77979,Ok
0.16871,9.13301,3762.07756,Ok
0.73595,3.56733,3240.05627,Fatal
-1.04835,1.81697,837.50647,Fatal
0.12338,9.34933,3665.75926,Ok
0.15271,8.70644,3787.22795,Ok
0.78399,8.01584,-730.07423,Ok
0.10542,1.54708,1850.11805,Ok
0.02901,1.78727,1965.64796,Ok
0.19334,9.14554,3542.1725,Ok
-0.92978,1.8128,973.39013,Fatal
0.16092,8.92168,3424.35885,Ok
0.75954,3.07296,3254.87541,Fatal
-1.02957,2.19456,835.17985,Fatal
0.86019,8.09268,-785.9897,Ok
0.80178,8.02017,-767.46611,Ok
0.06508,2.06407,1941.3081,Ok
0.2022,9.11706,3721.40716,Ok
0.11959,9.27453,3808.18387,Ok
0.14723,8.90256,3525.74693,Ok
0.74832,7.99664,-722.99463,Ok
0.10478,2.21602,1814.0544,Ok
0.15036,1.87812,1990.34571,Ok
0.13099,9.09889,3773.15222,Ok
0.09477,2.4322,2053.29173,Ok
-1.00552,1.84726,957.8183,Fatal
0.75987,8.24181,-558.77144,Ok
-0.89043,2.50061,618.11959,Fatal
0.19467,8.98346,3554.0106,Ok
0.77369,3.53124,3227.01241,Fatal
0.77388,7.91895,-666.72218,Ok
0.06352,1.96398,2035.18838,Ok
-0.26511,4.15953,1550.57724,Ok
0.05004,2.43807,1952.99449,Ok
-0.97473,1.85157,836.81669,Fatal
-0.9492,2.03269,905.17572,Fatal
0.1257,2.24324,1878.37254,Ok
-0.40556,5.44796,3650.51109,Ok
-1.00024,2.03127,1135.41793,Fatal
-0.96516,2.02085,985.7732,Fatal
-1.01619,1.88958,1075.53963,Fatal
0.13433,2.11537,1685.85737,Fatal
-1.02948,2.29273,833.60167,Fatal
0.19804,9.05732,3558.07713,Ok
0.10226,2.45327,1850.91553,Ok
0.75778,3.67676,3632.23629,Fatal
0.72811,3.96045,3260.92861,Fatal
0.68153,3.68715,3447.55418,Fatal
-0.93172,1.66872,843.30452,Fatal
0.70794,3.6793,3329.37585,Fatal
-1.0394,1.82825,969.41177,Fatal
0.71885,3.64059,3168.02833,Fatal
0.75634,2.9901,3414.02375,Fatal
0.15822,1.98018,1977.25745,Ok
0.08095,8.91292,3579.56648,Ok
-0.95025,2.1245,853.59062,Fatal
-1.0179,1.96971,948.25617,Fatal
0.80259,7.83702,-685.00831,Ok
0.18107,9.09636,3657.83968,Ok
0.15237,8.45681,3757.17191,Ok
0.71391,3.4337,3447.65638,Fatal
0.75628,3.47009,3055.57775,Fatal
0.17125,8.94845,3393.49047,Ok
0.05896,2.09466,1911.83136,Ok
-0.98595,1.86643,914.81855,Fatal
-0.88954,1.75901,920.81806,Fatal
0.25339,8.56295,3538.4803,Ok
0.1353,1.98717,1927.77689,Ok
0.73061,3.44466,3305.26895,Fatal
0.72759,3.47472,3450.78131,Fatal
0.06202,9.52889,3749.89995,Ok
0.73154,3.22641,3524.10382,Fatal
0.18053,9.01558,3548.12391,Ok
0.78519,3.43181,3277.18977,Fatal
0.06707,1.98591,2033.62559,Ok
0.10874,8.91044,3400.19612,Ok
0.78049,3.58785,3307.97058,Fatal
-0.98744,1.76141,935.38329,Fatal
0.14157,8.95152,3588.19044,Ok
-0.91111,1.78143,647.09464,Fatal
0.1424,1.89873,1974.18663,Ok
-1.00635,2.02942,963.57274,Fatal
0.76292,7.84626,-855.95428,Ok
0.83264,7.8088,-708.92518,Ok
0.13885,2.07111,2031.1468,Ok
0.67319,3.43251,3607.86358,Fatal
0.1812,9.43398,3825.59498,Ok
0.6626,5.57815,3042.5922,Ok
-1.03737,1.71164,615.45321,Fatal
0.17213,9.09863,3724.91113,Ok
0.72269,3.37767,3375.95771,Fatal
0.13733,8.55137,3804.68279,Ok
0.12965,8.77476,3584.40422,Ok
-0.96714,2.15005,918.77639,Fatal
-1.0025,2.18264,821.8263,Fatal
0.70491,3.35909,3117.4477,Fatal
-0.9398,1.77856,813.06635,Fatal
-0.98131,1.76915,976.81857,Fatal
-1.07382,1.7698,812.36438,Fatal
0.08122,1.84556,1727.30115,Ok
0.14257,8.69215,3672.45662,Ok
0.14622,9.12836,3640.14769,Ok
0.72111,3.27577,3400.95862,Fatal
-0.95414,2.09507,728.34593,Fatal
0.70263,6.90214,3437.6696,Fatal
0.75577,3.32587,3245.13881,Fatal
0.20173,8.87557,3496.84943,Ok
-0.3434,3.97388,3041.92832,Ok
0.85052,7.91139,-676.8169,Ok
-1.02577,1.87742,679.12628,Fatal
-0.01639,2.00822,1676.44641,Ok
0.82927,3.17835,3421.78718,Fatal
-0.93808,2.26205,1045.26512,Fatal
0.12171,9.18178,3383.6603,Ok
0.71345,8.00991,-762.44337,Ok
0.72887,3.44466,3123.93947,Fatal
0.71207,3.70069,3232.88405,Fatal
0.78028,7.93263,-689.76767,Ok
-0.9856,2.20372,745.84577,Fatal
0.86827,5.20161,3534.54265,Fatal
0.67795,4.00894,3511.8901,Fatal
-1.07378,1.55935,794.3102,Fatal
0.77767,8.14677,-1017.02961,Ok
0.06458,1.84802,1946.78652,Ok
0.18586,9.39977,3573.96659,Ok
0.74131,3.5342,3249.64984,Fatal
0.72601,3.56127,3501.78054,Fatal
0.13868,1.87985,1531.56035,Ok
0.14483,1.87506,1863.81928,Ok
-0.97501,2.06524,692.18044,Fatal
0.10743,1.54412,2001.25223,Ok
0.15815,1.99295,2059.6637,Fatal
0.78521,3.61799,3491.073,Fatal
0.82886,7.41382,-988.94829,Ok
-0.90827,1.83406,698.22169,Fatal
0.72464,3.52098,3060.90788,Fatal
0.74074,3.43996,3236.63222,Fatal
0.1423,1.90095,1971.32721,Ok
0.1523,8.88991,3648.9816,Ok
0.17024,1.75461,1778.09809,Ok
0.78405,7.88826,-817.08818,Ok
-0.98554,1.815,835.46712,Fatal
0.20051,8.74613,3811.61142,Ok
0.74972,7.91887,-786.02828,Ok
0.17722,9.23018,3866.75033,Ok
0.14095,9.26713,3505.13974,Ok
0.10134,2.22139,1928.98951,Ok
0.16901,8.74248,3706.92087,Ok
-0.96737,2.13839,902.69287,Fatal
0.11873,9.02852,3388.50477,Ok
0.80554,3.5241,3255.15749,Fatal
0.0848,2.09154,1789.79876,Ok
0.16442,2.31851,1748.7062,Ok
-0.95328,1.74092,868.81513,Fatal
0.13554,8.61334,3530.60024,Ok
0.0832,9.32433,3274.81579,Ok
0.77268,7.90414,-748.62381,Ok
0.08289,2.34078,1916.19391,Ok
0.79394,7.89661,-858.07497,Ok
0.12048,9.09473,3722.99676,Ok
-0.87385,2.07499,741.7237,Fatal
0.12576,9.15548,3392.56163,Ok
-0.95843,1.71366,762.90888,Fatal
0.81955,8.3773,-967.0986,Ok
0.13663,8.85376,3541.37645,Ok
0.12758,2.59711,1994.98664,Ok
0.11095,2.06968,2028.73946,Ok
0.77436,7.79451,-810.22327,Ok
-0.94866,1.79834,829.39267,Fatal
0.06543,2.33857,1934.79279,Ok
0.03155,2.33768,1764.98547,Ok
0.14492,9.06699,3362.47664,Ok
-0.97573,1.6664,801.03537,Fatal
0.17273,9.04834,3377.29886,Ok
0.7387,7.90111,-651.982,Ok
0.12625,9.23225,3717.33708,Ok
0.12635,2.0162,1811.1512,Ok
0.08542,9.09442,3377.98741,Ok
0.75996,8.10018,-754.64827,Ok
0.10183,9.33422,3612.11758,Ok
0.80023,8.20079,-985.40487,Ok
0.80859,3.38828,3534.33038,Fatal
0.12301,2.6224,1724.39009,Ok
-1.11901,1.86836,980.76905,Fatal
0.74207,7.83299,-805.01139,Ok
-0.94424,1.85376,771.50642,Fatal
0.09311,2.10631,2045.47574,Ok
0.75224,3.29096,3127.06133,Fatal
0.71275,3.80793,3523.42598,Fatal
-1.0803,2.16617,929.12838,Fatal
0.18954,9.01978,3451.1882,Ok
-0.98721,2.10312,993.13142,Fatal
0.08781,2.38301,1699.94435,Ok
0.08435,2.18183,1750.03002,Ok
-0.90809,2.09262,874.53598,Fatal
0.10623,1.91756,1959.2608,Ok
-1.07875,1.8359,762.11201,Fatal
